2026-04-06 23:20:40 | INFO     | __main__ | ============================================================
2026-04-06 23:20:40 | INFO     | __main__ | AI CRYPTO TRADER STARTING
2026-04-06 23:20:40 | INFO     | __main__ | ============================================================
2026-04-06 23:20:40 | INFO     | __main__ | Bot Name: AI Crypto Trader
2026-04-06 23:20:40 | INFO     | __main__ | Mode: PAPER
2026-04-06 23:20:40 | INFO     | __main__ | AI Model: minimax-m2.7
2026-04-06 23:20:40 | INFO     | __main__ | Loop Interval: 30s
2026-04-06 23:20:40 | INFO     | core.market_data | MarketDataFetcher initialized
2026-04-06 23:20:40 | INFO     | core.indicators | IndicatorCalculator initialized with 'ta' library
2026-04-06 23:20:40 | INFO     | core.ai_brain | AIBrain initialized with Ollama Cloud model: minimax-m2.7
2026-04-06 23:20:40 | INFO     | core.ai_brain | API Endpoint: https://api.ollama.com/v1
2026-04-06 23:20:40 | INFO     | core.signal_engine | SignalEngine initialized
2026-04-06 23:20:40 | INFO     | core.risk_manager | RiskManager initialized
2026-04-06 23:20:40 | INFO     | core.order_executor | OrderExecutor initialized (PAPER TRADING)
2026-04-06 23:20:40 | INFO     | core.portfolio_tracker | PortfolioTracker initialized
2026-04-06 23:20:40 | INFO     | dashboard.terminal_ui | TerminalUI initialized
2026-04-06 23:20:40 | INFO     | __main__ | Trading Pairs: BTC/USD, ETH/USD, SOL/USD, AVAX/USD, EUR/USD, GBP/USD
2026-04-06 23:20:40 | INFO     | __main__ | Verifying API connections...
2026-04-06 23:20:42 | INFO     | __main__ | ✓ Ollama: Connected to Ollama Cloud: MiniMax M2.7
2026-04-06 23:20:44 | INFO     | __main__ | ✓ Alpaca: Connected to Alpaca (Account: PA3041HUEKF8)
2026-04-06 23:20:44 | INFO     | __main__ |   Portfolio Value: $100,000.00
2026-04-06 23:20:44 | INFO     | __main__ |   Cash Available: $100,000.00
2026-04-06 23:20:45 | INFO     | dashboard.terminal_ui | Terminal UI started
2026-04-06 23:20:45 | INFO     | __main__ | --- Loop #1 started ---
